stress_level,support_frequency,method,success,ci95,collision,mode_escape,rows
0.0,0.500,energy_rerank_unguided,1.00000,0.00000,0.00000,0.00000,14
0.0,0.500,energy_guided_diffusion,1.00000,0.00000,0.00000,0.00000,14
0.0,0.500,strong_guided_diffusion,1.00000,0.00000,0.00000,0.00000,14
0.0,0.500,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,14
0.0,0.500,grid_oracle,1.00000,0.00000,0.00000,0.00000,14
0.2,0.400,energy_rerank_unguided,1.00000,0.00000,0.00000,0.00000,14
0.2,0.400,energy_guided_diffusion,1.00000,0.00000,0.00000,0.00000,14
0.2,0.400,strong_guided_diffusion,1.00000,0.00000,0.00000,0.00000,14
0.2,0.400,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,14
0.2,0.400,grid_oracle,1.00000,0.00000,0.00000,0.00000,14
0.4,0.300,energy_rerank_unguided,0.92857,0.14000,0.07143,0.00000,14
0.4,0.300,energy_guided_diffusion,0.92857,0.14000,0.07143,0.00000,14
0.4,0.300,strong_guided_diffusion,0.92857,0.14000,0.00000,0.00000,14
0.4,0.300,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,14
0.4,0.300,grid_oracle,1.00000,0.00000,0.00000,0.00000,14
0.6,0.200,energy_rerank_unguided,0.85714,0.18074,0.14286,0.00000,14
0.6,0.200,energy_guided_diffusion,0.85714,0.18074,0.14286,0.00000,14
0.6,0.200,strong_guided_diffusion,0.92857,0.14000,0.00000,0.00000,14
0.6,0.200,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,14
0.6,0.200,grid_oracle,1.00000,0.00000,0.00000,0.00000,14
0.8,0.100,energy_rerank_unguided,0.57143,0.25560,0.42857,0.00000,14
0.8,0.100,energy_guided_diffusion,0.64286,0.35233,0.35714,0.00000,14
0.8,0.100,strong_guided_diffusion,0.71429,0.29143,0.00000,0.00000,14
0.8,0.100,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,14
0.8,0.100,grid_oracle,1.00000,0.00000,0.00000,0.00000,14
1.0,0.000,energy_rerank_unguided,0.00000,0.00000,1.00000,0.00000,14
1.0,0.000,energy_guided_diffusion,0.00000,0.00000,1.00000,0.00000,14
1.0,0.000,strong_guided_diffusion,0.00000,0.00000,0.00000,0.00000,14
1.0,0.000,cem_trajectory_optimizer,1.00000,0.00000,0.00000,1.00000,14
1.0,0.000,grid_oracle,1.00000,0.00000,0.00000,1.00000,14
